task,source,query,method,total_query_steps,reusable_prefix_length,reuse_ratio,partial_reuse_steps,partial_reuse_ratio,max_reuse_depth,avg_reuse_depth
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183348-f6b03654,ours_improved,4,3,0.75,3,0.75,1,1
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183348-f6b03654,full_workspace_hash,4,4,1.0,4,1.0,4,2.5
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183348-f6b03654,exact_history,4,0,0.0,0,0.0,0,0.0
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183348-f6b03654,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183422-298ee0c3,ours_improved,4,1,0.25,1,0.25,1,1
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183422-298ee0c3,full_workspace_hash,4,3,0.75,3,0.75,3,2
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183422-298ee0c3,exact_history,4,0,0.0,0,0.0,0,0.0
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183422-298ee0c3,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183348-f6b03654,biofabric-rust-rewrite-20260901-182909,ours_improved,7,1,0.1429,1,0.1429,1,1
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183348-f6b03654,biofabric-rust-rewrite-20260901-182909,full_workspace_hash,7,1,0.1429,1,0.1429,1,1
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183348-f6b03654,biofabric-rust-rewrite-20260901-182909,exact_history,7,0,0.0,0,0.0,0,0.0
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183348-f6b03654,biofabric-rust-rewrite-20260901-182909,tvcache_tcg,7,0,0.0,0,0.0,0,0.0
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183348-f6b03654,biofabric-rust-rewrite-20260901-183422-298ee0c3,ours_improved,4,1,0.25,1,0.25,1,1
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183348-f6b03654,biofabric-rust-rewrite-20260901-183422-298ee0c3,full_workspace_hash,4,3,0.75,3,0.75,3,2
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183348-f6b03654,biofabric-rust-rewrite-20260901-183422-298ee0c3,exact_history,4,0,0.0,0,0.0,0,0.0
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183348-f6b03654,biofabric-rust-rewrite-20260901-183422-298ee0c3,tvcache_tcg,4,0,0.0,0,0.0,0,0.0
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183422-298ee0c3,biofabric-rust-rewrite-20260901-182909,ours_improved,7,1,0.1429,1,0.1429,1,1
